Invoice,Chk/Ref,Type,Order,Customer,Amount,Date,Due Date,Paid Date
149212,0,Invoices,S032177,Cust1,707.10,1/25/2012,2/24/2012,2/6/2012
149418,0,Invoices,S032224,Cust1,"13,005.00",2/10/2012,3/11/2012,2/21/2012
149609,0,Invoices,S032344,Cust1,"4,019.24",2/28/2012,3/29/2012,3/5/2012
149610,0,Invoices,S032346,Cust1,"8,117.50",2/28/2012,3/29/2012,3/5/2012
149611,0,Invoices,S032349,Cust1,"10,157.00",2/28/2012,3/29/2012,3/5/2012
149718,0,Invoices,S032346,Cust1,"7,141.50",3/7/2012,4/6/2012,3/21/2012
149728,0,Invoices,S032532,Cust1,"12,612.50",3/7/2012,4/6/2012,3/21/2012
150391,0,Invoices,S032998,Cust1,989.94,4/30/2012,5/30/2012,5/11/2012
150392,0,Invoices,S032999,Cust1,"2,013.30",4/30/2012,5/30/2012,5/11/2012
150589,0,Invoices,S033060,Cust1,"20,843.50",5/15/2012,6/14/2012,5/31/2012
150947,0,Invoices,S033433,Cust1,297.50,6/8/2012,7/8/2012,6/27/2012
151004,0,Invoices,S033434,Cust1,"3,512.70",6/15/2012,7/15/2012,6/27/2012
151005,0,Invoices,S033502,Cust1,127.50,6/15/2012,7/15/2012,6/27/2012
151152,0,Invoices,S033435,Cust1,"23,418.00",6/25/2012,7/25/2012,7/5/2012
151482,0,Invoices,S033435,Cust1,"20,793.55",7/17/2012,8/16/2012,7/26/2012
151491,0,Invoices,S033647,Cust1,500.00,7/17/2012,8/16/2012,7/26/2012
151589,0,Invoices,S033568,Cust1,"17,869.50",7/23/2012,8/22/2012,7/30/2012
151665,0,Invoices,S033568,Cust1,"36,032.00",7/27/2012,8/26/2012,8/6/2012
151789,0,Invoices,S033908,Cust1,397.32,8/6/2012,9/5/2012,8/16/2012
151793,0,Invoices,S033935,Cust1,"32,579.49",8/6/2012,9/5/2012,8/16/2012
151953,0,Invoices,S033940,Cust1,"23,826.00",8/17/2012,9/16/2012,8/29/2012
152299,0,Invoices,S033940,Cust1,"15,087.50",9/17/2012,10/17/2012,9/24/2012
152376,0,Invoices,S033908,Cust1,"4,335.58",9/24/2012,10/24/2012,10/12/2012
152792,0,Invoices,S034440,Cust1,"19,330.84",10/24/2012,11/23/2012,11/7/2012
152883,0,Invoices,S034585,Cust1,"20,847.75",11/2/2012,12/2/2012,11/15/2012
152978,0,Invoices,S034585,Cust1,"16,962.18",11/9/2012,12/9/2012,11/20/2012
153092,0,Invoices,S034528,Cust1,"29,782.50",11/19/2012,12/19/2012,11/26/2012
153111,0,Invoices,S034528,Cust1,"18,262.00",11/21/2012,12/21/2012,12/5/2012
153161,0,Invoices,S034528,Cust1,"5,956.50",11/28/2012,12/28/2012,12/5/2012
153261,0,Invoices,S034886,Cust1,"16,410.40",12/4/2012,1/3/2013,12/10/2012
153340,0,Invoices,S034917,Cust1,"20,847.75",12/11/2012,1/10/2013,12/21/2012
153447,0,Invoices,S034886,Cust1,"1,429.80",12/19/2012,1/18/2013,1/4/2013
153449,0,Invoices,S034917,Cust1,"22,435.00",12/19/2012,1/18/2013,1/4/2013
153450,0,Invoices,S034921,Cust1,"2,559.28",12/19/2012,1/18/2013,1/4/2013
153451,0,Invoices,S035014,Cust1,"9,296.96",12/19/2012,1/18/2013,1/4/2013
153509,0,Invoices,S034917,Cust1,"4,761.75",12/26/2012,1/25/2013,1/10/2013
153510,0,Invoices,S034925,Cust1,"3,162.50",12/26/2012,1/25/2013,1/10/2013
153551,0,Invoices,S034925,Cust1,"3,162.50",12/31/2012,1/30/2013,1/22/2013
153552,0,Invoices,S035092,Cust1,"7,533.50",12/31/2012,1/30/2013,1/10/2013
153591,0,Invoices,S034925,Cust1,"3,570.75",1/4/2013,2/3/2013,1/22/2013
153594,0,Invoices,S035092,Cust1,"6,530.14",1/4/2013,2/3/2013,1/22/2013
153703,0,Invoices,S034925,Cust1,"3,570.75",1/14/2013,2/13/2013,1/22/2013
153704,0,Invoices,S034985,Cust1,"12,136.00",1/14/2013,2/13/2013,1/22/2013
153707,0,Invoices,S035099,Cust1,"11,784.71",1/14/2013,2/13/2013,1/22/2013
153710,0,Invoices,S035133,Cust1,"8,845.22",1/14/2013,2/13/2013,1/22/2013
153789,0,Invoices,S034985,Cust1,"20,472.00",1/21/2013,2/20/2013,1/31/2013
153913,0,Invoices,S035317,Cust1,"8,878.79",1/31/2013,3/2/2013,2/11/2013
153965,0,Invoices,S034985,Cust1,"18,082.25",2/5/2013,3/7/2013,2/11/2013
153968,0,Invoices,S035318,Cust1,"1,158.58",2/5/2013,3/7/2013,2/11/2013
153969,0,Invoices,S035319,Cust1,"21,899.12",2/5/2013,3/7/2013,2/11/2013
154128,0,Invoices,S035413,Cust1,"2,611.59",2/20/2013,3/22/2013,2/27/2013
154541,0,Invoices,S035607,Cust1,"13,038.25",3/29/2013,4/28/2013,4/17/2013
154601,0,Invoices,S035688,Cust1,"1,801.26",4/4/2013,5/4/2013,4/17/2013
154602,0,Invoices,S035690,Cust1,"24,342.00",4/4/2013,5/4/2013,4/17/2013
154603,0,Invoices,S035742,Cust1,"3,516.25",4/4/2013,5/4/2013,4/17/2013
154604,0,Invoices,S035745,Cust1,"2,443.94",4/4/2013,5/4/2013,4/17/2013
154655,0,Invoices,S035690,Cust1,"27,203.00",4/10/2013,5/10/2013,4/24/2013
154657,0,Invoices,S035744,Cust1,"14,065.00",4/10/2013,5/10/2013,4/24/2013
145169,0,Invoices,S029451,Cust10,"5,541.15",3/7/2011,4/6/2011,5/9/2011
145321,0,Invoices,W000149,Cust10,"3,310.00",3/18/2011,4/17/2011,5/9/2011
145322,0,Invoices,W000150,Cust10,"1,162.00",3/18/2011,4/17/2011,5/9/2011
145323,0,Invoices,W000151,Cust10,"2,360.00",3/18/2011,4/17/2011,5/9/2011
145324,0,Invoices,W000148,Cust10,"7,375.00",3/18/2011,4/17/2011,5/9/2011
145492,0,Invoices,S029576,Cust10,"2,188.00",3/29/2011,4/28/2011,5/13/2011
145493,0,Invoices,W000153,Cust10,"1,530.00",3/29/2011,4/28/2011,5/9/2011
145494,0,Invoices,W000155,Cust10,590.00,3/29/2011,4/28/2011,5/13/2011
145495,0,Invoices,W000154,Cust10,"21,156.00",3/29/2011,4/28/2011,5/13/2011
145761,0,Invoices,W000160,Cust10,"1,976.00",4/18/2011,5/18/2011,5/9/2011
145762,0,Invoices,W000157,Cust10,"10,435.95",4/18/2011,5/18/2011,6/10/2011
145763,0,Invoices,W000156,Cust10,"12,106.60",4/18/2011,5/18/2011,6/10/2011
145842,0,Invoices,W000162,Cust10,"6,981.00",4/21/2011,5/21/2011,6/10/2011
145919,0,Invoices,W000163,Cust10,"14,945.00",4/28/2011,5/28/2011,6/10/2011
145920,0,Invoices,W000159,Cust10,"1,544.00",4/28/2011,5/28/2011,6/10/2011
145921,0,Invoices,W000158,Cust10,"5,943.80",4/28/2011,5/28/2011,6/10/2011
146035,0,Invoices,S029998,Cust10,"2,983.00",5/6/2011,6/5/2011,6/10/2011
146188,0,Invoices,W000164,Cust10,"4,029.00",5/19/2011,6/18/2011,6/17/2011
146239,0,Invoices,S030215,Cust10,132.00,5/25/2011,6/24/2011,6/17/2011
146560,0,Invoices,S030185,Cust10,"3,504.00",6/22/2011,7/22/2011,7/25/2011
146561,0,Invoices,W000165,Cust10,"3,560.00",6/22/2011,7/22/2011,6/22/2011
146562,0,Invoices,W000166,Cust10,"1,641.00",6/22/2011,7/22/2011,7/25/2011
146564,0,Invoices,W000165,Cust10,"3,560.00",6/22/2011,7/22/2011,7/25/2011
146581,0,Invoices,W000168,Cust10,"5,216.00",6/23/2011,7/23/2011,8/1/2011
146759,0,Invoices,W000170,Cust10,"4,411.00",7/8/2011,8/7/2011,8/8/2011
146955,0,Invoices,S030705,Cust10,193.35,7/25/2011,8/24/2011,9/6/2011
147078,0,Invoices,W000173,Cust10,"14,856.00",8/2/2011,9/1/2011,9/26/2011
147079,0,Invoices,W000172,Cust10,"2,108.00",8/2/2011,9/1/2011,9/22/2011
147292,0,Invoices,W000174,Cust10,"7,262.00",8/17/2011,9/16/2011,10/13/2011
147608,0,Invoices,W000178,Cust10,"1,760.00",9/12/2011,10/12/2011,11/2/2011
147609,0,Invoices,W000175,Cust10,"9,352.00",9/12/2011,10/12/2011,11/2/2011
147610,0,Invoices,W000176,Cust10,"9,160.00",9/12/2011,10/12/2011,11/2/2011
147611,0,Invoices,W000177,Cust10,"8,455.00",9/12/2011,10/12/2011,11/2/2011
147801,0,Invoices,W000179,Cust10,"10,187.00",9/22/2011,10/22/2011,11/2/2011
147802,0,Invoices,W000178,Cust10,"7,846.00",9/22/2011,10/22/2011,11/2/2011
148279,0,Invoices,W000187,Cust10,"7,398.00",10/31/2011,11/30/2011,1/5/2012
148280,0,Invoices,W000188,Cust10,"6,509.00",10/31/2011,11/30/2011,1/5/2012
148281,0,Invoices,W000189,Cust10,"6,571.00",10/31/2011,11/30/2011,1/5/2012
148282,0,Invoices,W000190,Cust10,"6,535.00",10/31/2011,11/30/2011,1/5/2012
148283,0,Invoices,W000191,Cust10,"10,887.00",10/31/2011,11/30/2011,1/5/2012
148523,0,Invoices,W000192,Cust10,"12,468.00",11/21/2011,12/21/2011,1/5/2012
148663,0,Invoices,W000193,Cust10,"6,300.00",12/5/2011,1/4/2012,2/2/2012
148664,0,Invoices,W000194,Cust10,"20,585.00",12/5/2011,1/4/2012,2/2/2012
149107,0,Invoices,W000195,Cust10,"3,862.92",1/16/2012,2/15/2012,2/10/2012
149344,0,Invoices,W000200,Cust10,"3,563.00",2/6/2012,3/7/2012,4/11/2012
149345,0,Invoices,W000199,Cust10,"4,697.00",2/6/2012,3/7/2012,4/11/2012
149597,0,Invoices,W000204,Cust10,"6,575.00",2/27/2012,3/28/2012,4/19/2012
149601,0,Invoices,W000202,Cust10,"14,747.00",2/28/2012,3/29/2012,4/19/2012
149602,0,Invoices,W000206,Cust10,"5,574.00",2/28/2012,3/29/2012,4/26/2012
149698,0,Invoices,W000206,Cust10,"3,159.00",3/5/2012,4/4/2012,5/21/2012
149699,0,Invoices,W000207,Cust10,"2,906.00",3/5/2012,4/4/2012,5/24/2012
149700,0,Invoices,W000205,Cust10,"3,088.00",3/5/2012,4/4/2012,5/21/2012
149701,0,Invoices,W000203,Cust10,"14,622.00",3/5/2012,4/4/2012,5/21/2012
149958,0,Invoices,W000212,Cust10,"4,482.00",3/23/2012,4/22/2012,5/24/2012
149959,0,Invoices,W000218,Cust10,426.00,3/23/2012,4/22/2012,5/24/2012
150169,0,Invoices,W000219,Cust10,"4,542.00",4/12/2012,5/12/2012,5/24/2012
150574,0,Invoices,W000227,Cust10,"1,513.00",5/14/2012,6/13/2012,7/2/2012
150575,0,Invoices,W000225,Cust10,226.00,5/14/2012,6/13/2012,7/2/2012
150576,0,Invoices,W000226,Cust10,"2,540.00",5/14/2012,6/13/2012,7/2/2012
150577,0,Invoices,W000224,Cust10,615.00,5/14/2012,6/13/2012,7/2/2012
150578,0,Invoices,W000223,Cust10,723.00,5/14/2012,6/13/2012,7/2/2012
150863,0,Invoices,W000233,Cust10,"2,225.00",6/1/2012,7/1/2012,8/20/2012
151201,0,Invoices,W000235,Cust10,"3,096.00",6/27/2012,7/27/2012,8/20/2012
151630,0,Invoices,W000241,Cust10,"1,695.00",7/25/2012,8/24/2012,11/5/2012
151631,0,Invoices,W000242,Cust10,"2,699.00",7/25/2012,8/24/2012,11/5/2012
151632,0,Invoices,W000246,Cust10,"11,477.00",7/25/2012,8/24/2012,11/5/2012
151979,0,Invoices,S033869,Cust10,"18,038.00",8/20/2012,9/19/2012,11/13/2012
152361,0,Invoices,W000252,Cust10,"6,942.00",9/21/2012,10/21/2012,11/19/2012
152655,0,Invoices,W000255,Cust10,"1,713.00",10/15/2012,11/14/2012,12/26/2012
153148,0,Invoices,,Cust10,10.00,11/26/2012,11/26/2012,12/26/2012
153169,0,Invoices,S034848,Cust10,15.91,11/28/2012,12/28/2012,12/26/2012
153635,0,Invoices,W000266,Cust10,"19,262.00",1/7/2013,2/6/2013,3/4/2013
153646,0,Invoices,W000268,Cust10,"4,599.00",1/8/2013,2/7/2013,3/7/2013
153763,0,Invoices,W000270,Cust10,"5,201.00",1/18/2013,2/17/2013,4/1/2013
153764,0,Invoices,W000269,Cust10,"7,726.00",1/18/2013,2/17/2013,4/1/2013
153765,0,Invoices,W000271,Cust10,"7,344.00",1/18/2013,2/17/2013,4/1/2013
153956,0,Invoices,W000273,Cust10,"12,020.00",2/4/2013,3/6/2013,4/15/2013
154099,0,Invoices,W000276,Cust10,"4,913.00",2/15/2013,3/17/2013,4/22/2013
154192,0,Invoices,S035451,Cust10,903.00,2/26/2013,3/28/2013,5/10/2013
154200,0,Invoices,W000277,Cust10,"3,671.00",2/26/2013,3/28/2013,5/10/2013
154264,0,Invoices,W000280,Cust10,"5,806.48",3/4/2013,4/3/2013,5/10/2013
154506,0,Invoices,W000285,Cust10,"8,644.00",3/28/2013,4/27/2013,
154508,0,Invoices,W000286,Cust10,"11,195.00",3/28/2013,4/27/2013,
154512,0,Invoices,W000301,Cust10,"6,900.00",3/29/2013,4/28/2013,
154513,0,Invoices,W000292,Cust10,"2,902.00",3/29/2013,4/28/2013,
154514,0,Invoices,W000293,Cust10,"1,849.00",3/29/2013,4/28/2013,
154515,0,Invoices,W000300,Cust10,223.00,3/29/2013,4/28/2013,
154516,0,Invoices,W000299,Cust10,424.00,3/29/2013,4/28/2013,
154517,0,Invoices,W000298,Cust10,"1,544.00",3/29/2013,4/28/2013,
154518,0,Invoices,W000295,Cust10,326.00,3/29/2013,4/28/2013,
154519,0,Invoices,W000296,Cust10,567.00,3/29/2013,4/28/2013,
154520,0,Invoices,W000297,Cust10,"1,003.00",3/29/2013,4/28/2013,
154521,0,Invoices,W000291,Cust10,992.00,3/29/2013,4/28/2013,
154522,0,Invoices,W000289,Cust10,"6,682.00",3/29/2013,4/28/2013,
154523,0,Invoices,W000290,Cust10,"9,997.00",3/29/2013,4/28/2013,
154822,0,Invoices,W000302,Cust10,808.00,4/22/2013,5/22/2013,
154895,0,Invoices,W000303,Cust10,"7,847.00",4/29/2013,5/29/2013,
145551,0,Invoices,S029627,Cust11,"20,607.00",3/31/2011,4/30/2011,5/13/2011
145711,0,Invoices,S029627,Cust11,"18,958.00",4/14/2011,5/14/2011,5/13/2011
145712,0,Invoices,S029646,Cust11,"14,272.00",4/14/2011,5/14/2011,5/31/2011
145874,0,Invoices,S029627,Cust11,"42,053.00",4/26/2011,5/26/2011,5/31/2011
145875,0,Invoices,S029646,Cust11,"6,267.00",4/26/2011,5/26/2011,5/31/2011
146284,0,Invoices,S029627,Cust11,"1,162.20",5/31/2011,5/31/2011,7/15/2011
146505,0,Invoices,S030014,Cust11,"6,042.00",6/16/2011,7/16/2011,7/25/2011
147496,0,Invoices,S030760,Cust11,"13,272.00",8/30/2011,9/29/2011,9/26/2011
149998,0,Invoices,S032678,Cust11,"2,707.00",3/28/2012,4/27/2012,4/13/2012
150089,0,Invoices,S032792,Cust11,668.00,4/4/2012,5/4/2012,4/23/2012
150090,0,Invoices,S032678,Cust11,"15,433.00",4/4/2012,5/4/2012,4/23/2012
150101,0,Invoices,S032508,Cust11,"34,209.00",4/5/2012,5/5/2012,4/23/2012
150156,0,Invoices,S032508,Cust11,"46,870.00",4/11/2012,5/11/2012,4/27/2012
150248,0,Invoices,S032508,Cust11,"11,111.00",4/19/2012,5/19/2012,5/7/2012
150249,0,Invoices,S032883,Cust11,"2,279.00",4/19/2012,5/19/2012,5/7/2012
150354,0,Invoices,S032508,Cust11,"11,464.00",4/27/2012,5/27/2012,5/14/2012
150362,0,Invoices,S032508,Cust11,"1,875.00",4/27/2012,5/27/2012,5/14/2012
150643,0,Invoices,S032508,Cust11,"23,823.00",5/17/2012,6/16/2012,6/7/2012
150835,0,Invoices,S032508,Cust11,740.00,5/31/2012,6/30/2012,6/18/2012
153824,0,Invoices,S035134,Cust11,"10,566.00",1/23/2013,2/22/2013,2/21/2013
153906,0,Invoices,S035176,Cust11,"33,349.00",1/30/2013,3/1/2013,2/8/2013
153937,0,Invoices,S035307,Cust11,"1,405.00",2/1/2013,3/3/2013,3/11/2013
154020,0,Invoices,S035176,Cust11,"30,651.00",2/7/2013,3/9/2013,2/21/2013
154660,0,Invoices,S035600,Cust11,"8,710.00",4/10/2013,5/10/2013,4/25/2013
154727,0,Invoices,S035719,Cust11,"14,346.00",4/15/2013,5/15/2013,4/25/2013
154760,0,Invoices,S035804,Cust11,"2,545.00",4/17/2013,5/17/2013,5/17/2013
145128,0,Invoices,S029437,Cust12,"8,554.40",3/7/2011,4/6/2011,3/21/2011
145129,0,Invoices,S029495,Cust12,"1,959.60",3/7/2011,4/6/2011,3/21/2011
145223,0,Invoices,S029495,Cust12,"4,399.80",3/10/2011,4/9/2011,4/7/2011
145224,0,Invoices,S029544,Cust12,"11,664.60",3/10/2011,4/9/2011,4/7/2011
145225,0,Invoices,S029494,Cust12,"2,408.60",3/10/2011,4/9/2011,4/7/2011
145310,0,Invoices,S029545,Cust12,"1,956.00",3/17/2011,4/16/2011,3/28/2011
145311,0,Invoices,S029609,Cust12,"8,912.80",3/17/2011,4/16/2011,3/28/2011
145312,0,Invoices,S029544,Cust12,"2,036.60",3/17/2011,4/16/2011,3/28/2011
145366,0,Invoices,S029609,Cust12,7.20,3/22/2011,4/21/2011,4/4/2011
145429,0,Invoices,S029609,Cust12,"6,781.60",3/24/2011,4/23/2011,4/4/2011
145430,0,Invoices,S029610,Cust12,"5,336.10",3/24/2011,4/23/2011,4/4/2011
145431,0,Invoices,S029670,Cust12,"1,416.90",3/24/2011,4/23/2011,4/4/2011
145432,0,Invoices,S029669,Cust12,"5,115.20",3/24/2011,4/23/2011,4/4/2011
145543,0,Invoices,S029669,Cust12,"5,287.80",3/31/2011,4/30/2011,4/14/2011
145546,0,Invoices,S029763,Cust12,"1,679.00",3/31/2011,4/30/2011,4/14/2011
145616,0,Invoices,S029765,Cust12,"2,455.68",4/7/2011,5/7/2011,4/20/2011
145617,0,Invoices,S029764,Cust12,"11,374.80",4/7/2011,5/7/2011,4/20/2011
145618,0,Invoices,S029763,Cust12,"10,141.40",4/7/2011,5/7/2011,4/20/2011
145619,0,Invoices,S029672,Cust12,"5,198.25",4/7/2011,5/7/2011,4/20/2011
145620,0,Invoices,S029671,Cust12,612.68,4/7/2011,5/7/2011,4/20/2011
145708,0,Invoices,S029826,Cust12,"10,475.20",4/14/2011,5/14/2011,4/25/2011
145709,0,Invoices,S029827,Cust12,"1,956.00",4/14/2011,5/14/2011,4/25/2011
145710,0,Invoices,S029879,Cust12,"1,770.00",4/14/2011,5/14/2011,4/25/2011
145824,0,Invoices,S029882,Cust12,"9,548.40",4/21/2011,5/21/2011,5/2/2011
145825,0,Invoices,S029826,Cust12,"1,620.20",4/21/2011,5/21/2011,5/2/2011
145826,0,Invoices,S029880,Cust12,"7,673.00",4/21/2011,5/21/2011,5/2/2011
145897,0,Invoices,S029883,Cust12,"1,678.80",4/28/2011,5/28/2011,5/9/2011
145898,0,Invoices,S029959,Cust12,"13,116.80",4/28/2011,5/28/2011,5/9/2011
145899,0,Invoices,S029960,Cust12,"4,845.00",4/28/2011,5/28/2011,5/9/2011
145900,0,Invoices,S029884,Cust12,"1,310.40",4/28/2011,5/28/2011,5/9/2011
146003,0,Invoices,S029959,Cust12,"9,510.80",5/5/2011,6/4/2011,5/16/2011
146004,0,Invoices,S029960,Cust12,"1,811.10",5/5/2011,6/4/2011,5/16/2011
146005,0,Invoices,S029884,Cust12,436.80,5/5/2011,6/4/2011,5/16/2011
146006,0,Invoices,S029883,Cust12,"1,733.10",5/5/2011,6/4/2011,5/16/2011
146007,0,Invoices,S029962,Cust12,"7,742.40",5/5/2011,6/4/2011,5/16/2011
146008,0,Invoices,S030011,Cust12,"18,668.10",5/5/2011,6/4/2011,5/16/2011
146009,0,Invoices,S030010,Cust12,"16,000.60",5/5/2011,6/4/2011,5/16/2011
146042,0,Invoices,S030063,Cust12,"4,635.20",5/9/2011,6/8/2011,5/19/2011
146100,0,Invoices,S030063,Cust12,"11,284.40",5/12/2011,6/11/2011,5/23/2011
146101,0,Invoices,S030064,Cust12,"2,759.04",5/12/2011,6/11/2011,5/23/2011
146102,0,Invoices,S030102,Cust12,"2,408.60",5/12/2011,6/11/2011,5/23/2011
146103,0,Invoices,S030008,Cust12,612.68,5/12/2011,6/11/2011,5/23/2011
146104,0,Invoices,S030009,Cust12,"1,406.40",5/12/2011,6/11/2011,5/23/2011
146105,0,Invoices,S030010,Cust12,"9,147.00",5/12/2011,6/11/2011,5/23/2011
146182,0,Invoices,S030065,Cust12,"2,070.00",5/19/2011,6/18/2011,5/31/2011
146183,0,Invoices,S030102,Cust12,"8,991.40",5/19/2011,6/18/2011,5/31/2011
146184,0,Invoices,S030176,Cust12,"3,251.40",5/19/2011,6/18/2011,5/31/2011
146262,0,Invoices,S030176,Cust12,"8,233.40",5/27/2011,6/26/2011,6/9/2011
146263,0,Invoices,S030173,Cust12,"9,134.10",5/27/2011,6/26/2011,6/9/2011
146331,0,Invoices,S030233,Cust12,"1,811.10",6/2/2011,7/2/2011,6/16/2011
146332,0,Invoices,S030177,Cust12,"3,411.90",6/2/2011,7/2/2011,6/16/2011
146333,0,Invoices,S030232,Cust12,"12,204.80",6/2/2011,7/2/2011,6/16/2011
146409,0,Invoices,S030288,Cust12,"7,690.80",6/9/2011,7/9/2011,6/20/2011
146410,0,Invoices,S030289,Cust12,"7,921.20",6/9/2011,7/9/2011,6/20/2011
146491,0,Invoices,S030319,Cust12,"4,739.40",6/16/2011,7/16/2011,7/1/2011
146492,0,Invoices,S030290,Cust12,"1,747.20",6/16/2011,7/16/2011,6/27/2011
146493,0,Invoices,S030325,Cust12,"6,216.90",6/16/2011,7/16/2011,6/27/2011
146494,0,Invoices,S030326,Cust12,"16,872.40",6/16/2011,7/16/2011,6/27/2011
146495,0,Invoices,S030381,Cust12,"2,690.60",6/16/2011,7/16/2011,6/27/2011
146571,0,Invoices,S030327,Cust12,612.68,6/23/2011,7/23/2011,7/5/2011
146572,0,Invoices,S030380,Cust12,"5,177.40",6/23/2011,7/23/2011,7/5/2011
146573,0,Invoices,S030381,Cust12,"23,534.60",6/23/2011,7/23/2011,7/5/2011
146574,0,Invoices,S030438,Cust12,"1,416.90",6/23/2011,7/23/2011,7/5/2011
146575,0,Invoices,S030439,Cust12,"1,959.60",6/23/2011,7/23/2011,7/5/2011
146667,0,Invoices,S030382,Cust12,"7,610.59",6/30/2011,7/30/2011,7/11/2011
146668,0,Invoices,S030437,Cust12,"13,895.00",6/30/2011,7/30/2011,7/11/2011
146701,0,Invoices,S030543,Cust12,31.53,7/1/2011,7/31/2011,7/18/2011
146736,0,Invoices,S030440,Cust12,"2,701.56",7/7/2011,8/6/2011,7/18/2011
146737,0,Invoices,S030505,Cust12,"5,805.60",7/7/2011,8/6/2011,7/18/2011
146738,0,Invoices,S030506,Cust12,"4,399.80",7/7/2011,8/6/2011,7/18/2011
146819,0,Invoices,S030554,Cust12,669.09,7/14/2011,8/13/2011,7/28/2011
146820,0,Invoices,S030507,Cust12,"2,730.30",7/14/2011,8/13/2011,8/1/2011
146821,0,Invoices,S030508,Cust12,"3,411.90",7/14/2011,8/13/2011,8/1/2011
146822,0,Invoices,S030551,Cust12,"18,413.60",7/14/2011,8/13/2011,8/1/2011
146823,0,Invoices,S030552,Cust12,"13,575.90",7/14/2011,8/13/2011,8/1/2011
146867,0,Invoices,S030710,Cust12,16.83,7/19/2011,8/18/2011,8/1/2011
146903,0,Invoices,S030553,Cust12,"2,455.68",7/21/2011,8/20/2011,8/1/2011
146904,0,Invoices,S030591,Cust12,"25,995.20",7/21/2011,8/20/2011,8/1/2011
